COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,SCOPE 1 + SCOPE 2 EMISSIONS,TOTAL REVENUE (million $),CURRENCY,"CARBON INTENSITY
(Scope 1 & 2 g CO2e / $ Sales)",COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,COMPANY SIZE
Tesla,2017,n/a,n/a,n/a,n/a,n/a,282000,11759,USD,23.98,United States,No,n/a,
Tesla,2018,n/a,n/a,n/a,n/a,n/a,n/a,21461,USD,n/a,United States,No,82.51,
Tesla,2019,n/a,n/a,n/a,n/a,n/a,n/a,24578,USD,n/a,United States,No,14.52,
Tesla,2020,n/a,n/a,n/a,n/a,n/a,n/a,31536,USD,n/a,United States,No,28.31,
Tesla,2021,185000,403000,n/a,1954000,2542000,588000,53823,USD,10.92,United States,No,70.67,
Tesla,2022,202000,408000,n/a,30100000,30710000,610000,81462,USD,7.49,United States,No,51.35,
Toyota,2017,2604655,5265425,n/a,401742000,409612080,7870080,196433,JPY,40.07,Japan,Yes,n/a,
Toyota,2018,2554577,5238108,n/a,412184600,419977285,7792685,209119,JPY,37.26,Japan,Yes,6.46,
Toyota,2019,1904119,4244743,3779542,397940000,407868404,6148862,215142,JPY,28.58,Japan,Yes,2.88,
Toyota,2020,1642074,3684721,3261516,341344044,349932355,5326795,213037,JPY,25.00,Japan,Yes,-0.98,
Toyota,2021,2560000,3900000,3690000,373340317,383490317,6460000,193709,JPY,33.35,Japan,Yes,-9.07,
Toyota,2022,2370000,3810000,2870000,573825072,582875072,6180000,223355,JPY,27.67,Japan,Yes,15.30,
Volkswagen,2017,4297748,5901889,4907050,340767244,355873931,10199637,216479,EUR,47.12,Germany,Yes,n/a,
Volkswagen,2018,4068261,6370514,4291252,427972277,442702304,10438775,259237,EUR,40.27,Germany,Yes,19.75,
Volkswagen,2019,4494068,5973894,3796231,447225434,461489627,10467962,277684,EUR,37.70,Germany,Yes,7.12,
Volkswagen,2020,4335495,5257618,2802029,368258661,380653803,9593113,244986,EUR,39.16,Germany,Yes,-11.78,
Volkswagen,2021,4740873,5195961,2422137,364179966,376538937,9936834,250200,EUR,39.72,Germany,Yes,2.13,
Volkswagen,2022,4461403,4650011,2108564,395681718,406901696,9111414,279232,EUR,32.63,Germany,Yes,11.60,
