COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,TOTAL REVENUE (million $),CURRENCY,CARBON INTENSITY,COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,SECTOR,REVENUE IN USD,Adjusted CI
Tesla,2020,,,,,,31536.0,USD,,United States,False,28.31,Auto,31536.0,
Tesla,2021,185000.0,403000.0,,1954000.0,2542000.0,53823.0,USD,10.92,United States,False,70.67,Auto,53823.0,10.92
Tesla,2022,202000.0,408000.0,,30100000.0,30710000.0,81462.0,USD,7.49,United States,False,51.35,Auto,81462.0,7.49
Toyota,2017,2604655.0,5265425.0,,401742000.0,409612080.0,196433.0,JPY,40.07,Japan,True,,Auto,1394.6743000000001,5642.95
Toyota,2018,2554577.0,5238108.0,,412184600.0,419977285.0,209119.0,JPY,37.26,Japan,True,6.46,Auto,1484.7449000000001,5248.5
Toyota,2019,1904119.0,4244743.0,3779542.0,397940000.0,407868404.0,215142.0,JPY,28.58,Japan,True,2.88,Auto,1527.5082,4025.42
Toyota,2020,1642074.0,3684721.0,3261516.0,341344044.0,349932355.0,213037.0,JPY,25.0,Japan,True,-0.98,Auto,1512.5627000000002,3521.7
Toyota,2021,2560000.0,3900000.0,3690000.0,373340317.0,383490317.0,193709.0,JPY,33.35,Japan,True,-9.07,Auto,1375.3339,4697.04
Toyota,2022,2370000.0,3810000.0,2870000.0,573825072.0,582875072.0,223355.0,JPY,27.67,Japan,True,15.3,Auto,1585.8205,3897.04
Volkswagen,2017,4297748.0,5901889.0,4907050.0,340767244.0,355873931.0,216479.0,EUR,47.12,Germany,True,,Auto,240291.69000000003,42.45
Volkswagen,2018,4068261.0,6370514.0,4291252.0,427972277.0,442702304.0,259237.0,EUR,40.27,Germany,True,19.75,Auto,287753.07,36.28
Volkswagen,2019,4494068.0,5973894.0,3796231.0,447225434.0,461489627.0,277684.0,EUR,37.7,Germany,True,7.12,Auto,308229.24000000005,33.96
Volkswagen,2020,4335495.0,5257618.0,2802029.0,368258661.0,380653803.0,244986.0,EUR,39.16,Germany,True,-11.78,Auto,271934.46,35.28
Volkswagen,2021,4740873.0,5195961.0,2422137.0,364179966.0,376538937.0,250200.0,EUR,39.72,Germany,True,2.13,Auto,277722.0,35.78
Volkswagen,2022,4461403.0,4650011.0,2108564.0,395681718.0,406901696.0,279232.0,EUR,32.63,Germany,True,11.6,Auto,309947.52,29.4
Alphabet,2018,63521.0,4344686.0,684236.0,12900467.0,17992910.0,136819.0,USD,32.22,United States,True,,Tech,136819.0,32.22
Alphabet,2019,66686.0,5116949.0,794267.0,11669000.0,17646902.0,161857.0,USD,32.03,United States,True,18.3,Tech,161857.0,32.03
Alphabet,2020,38694.0,5865095.0,911415.0,9376000.0,16191204.0,182527.0,USD,32.34,United States,True,12.77,Tech,182527.0,32.34
Alphabet,2021,45073.0,6576239.0,1823132.0,9503000.0,17947444.0,257637.0,USD,25.7,United States,True,41.15,Tech,257637.0,25.7
Alphabet,2022,91200.0,8045400.0,2492200.0,7600000.0,18228800.0,282836.0,USD,28.77,United States,True,9.78,Tech,282836.0,28.77
Amazon,2018,4980000.0,4710000.0,4710000.0,34710000.0,44400000.0,232887.0,USD,41.61,United States,False,,Tech,232887.0,41.61
Amazon,2019,5760000.0,5500000.0,5500000.0,39910000.0,51170000.0,280522.0,USD,40.14,United States,False,20.45,Tech,280522.0,40.14
