COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,TOTAL REVENUE (million $),CURRENCY,CARBON INTENSITY,COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,SECTOR,REVENUE IN USD,Adjusted CI
Microsoft,2020,118100.0,4102445.0,228194.0,10817756.0,15266495.0,143015.0,USD,29.511,United States,True,13.65,Tech,143015.0,29.51
Microsoft,2021,123704.0,4745197.0,163935.0,13784501.0,18817337.0,168088.0,USD,28.966,United States,True,17.53,Tech,168088.0,28.97
Microsoft,2022,139413.0,6381250.0,288029.0,18863000.0,25671692.0,198270.0,USD,32.888,United States,True,17.96,Tech,198270.0,32.89
Samsung,2018,4855000.0,10318000.0,,38234000.0,53407000.0,201800000.0,KRW,0.075,South Korea,True,,Tech,153368.0,98.93
Samsung,2019,5067000.0,10998000.0,8733000.0,70063000.0,94861000.0,439200000.0,KRW,0.037,South Korea,True,117.64,Tech,333792.0,48.13
Samsung,2020,5726300.0,11852400.0,9078900.0,65591000.0,92248600.0,455800000.0,KRW,0.039,South Korea,True,3.78,Tech,346408.0,50.75
Samsung,2021,7604000.0,12566000.0,9796000.0,123234900.0,153200900.0,259300000.0,KRW,0.078,South Korea,True,-43.11,Tech,197068.0,102.35
Samsung,2022,5972000.0,13920000.0,9081000.0,124715000.0,153688000.0,280945000.0,KRW,0.071,South Korea,True,8.35,Tech,213518.2,93.16
TSMC,2018,2125725.0,7001655.0,6349642.0,4315604.0,19792626.0,1031000.0,TWD,8.853,Taiwan,True,,Tech,31961.0,285.58
TSMC,2019,2071743.0,7350195.0,6697872.0,5307729.0,21427539.0,1069950.0,TWD,8.806,Taiwan,True,3.78,Tech,33168.45,284.06
TSMC,2020,2010692.0,8282509.0,7459856.0,5571946.0,23325003.0,1339000.0,TWD,7.687,Taiwan,True,25.15,Tech,41509.0,247.98
TSMC,2021,2151937.0,9196964.0,8152497.0,6127157.0,25628555.0,1587420.0,TWD,7.149,Taiwan,True,18.55,Tech,49210.02,230.62
TSMC,2022,2018789.0,10893689.0,9539765.0,7429158.0,29881401.0,2264000.0,TWD,5.703,Taiwan,True,42.62,Tech,70184.0,183.98
